set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
NloI,EmployeeAND,Data Visualisation Specialist,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Meetings
OlhB,Employee,Digital Publishing Officer,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,6–10 hours,Research;
MUss,Employee,Communications Associate,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,[^not chosen],[^not chosen]
isqS,Employee,Data Visualization Expert,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,5 hours or less,[^not answered]
xLhM,EmployeeAND,Director of Research & Evaluation,1-5,4,x,x,x,x,[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,[^not chosen]
lxtG,Freelance,Data Visualization Specialist,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Discussing results with peers to elicit feedback
ynBN,Employee,Designer,1-5,3,x,x,x,[^not chosen],[^not chosen],51–60 hours,None,5 hours or less,11–20 hours,11–20 hours,5 hours or less,None,[^not chosen]
AKBs,Employee,"Manager, Advanced Analytics",6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,11–20 hours,writing business requirements; leading data validation efforts; serving as scrum master
eRux,Freelance,Data Visualization Designer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,None,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
GMsh,Freelance,Director - Monitoring and Evaluation,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
MncE,Employee,Director of User Experience Design,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,21–30 hours,[^not chosen],[^not chosen]
zbMv,Employee,Data and Research Analyst,1-5,2,x,[^not chosen],x,[^not chosen],[^not chosen],21–30 hours,6–10 hours,5 hours or less,None,6–10 hours,None,None,[^not chosen]
oOgs,EmployeeANDFreelance,"Senior Manager, Monitoring and Evaluation",6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],21–30 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,[^not chosen]
xfcL,Freelance,President,16-20,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
ArtT,Employee,Data Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,21–30 hours,5 hours or less,None,None,[^not chosen]
Jegm,EmployeeAND,Data and engagement reporter,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,6–10 hours,[^not answered]
HTlw,EmployeeAND,"Philanthropy Officer, Learning & Insights",1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
tMCu,Freelance,Consultant,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,5 hours or less,None,6–10 hours,None,None,[^not chosen]
JYYP,Employee,Evaluation Director,16-20,2,[^not chosen],[^not chosen],x,x,[^not chosen],31–40 hours,6–10 hours,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
pXEk,Freelance,Data Visualization Designer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,5 hours or less,None,6–10 hours,6–10 hours,None,[^not chosen]
ecXX,Employee,Research and Impact Analyst,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,None,None,None,[^not chosen],[^not chosen]
JEYg,Employee,Senior Associate Vice President Operational Excellence - Business Intelligence,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,5 hours or less,[^not chosen],5 hours or less,5 hours or less,[^not chosen],[^not chosen]
pfAM,Employee,Senior Manager of Data Insights and Reporting,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,11–20 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,None,[^not chosen]
xjCK,Employee,Program Analyst,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,None,None,None,[^not chosen]
zAGW,Employee,Director of IT Operations,16-20,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,None,5 hours or less,6–10 hours,None,[^not chosen]
